State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
RIVERS,ANDONI,AGWUT-OBOLO,0,0,0,0,0,0,25
RIVERS,ANDONI,ASARAMA,0,0,0,0,0,0,39
RIVERS,ANDONI,ATABA  I,0,0,0,0,0,0,19
RIVERS,ANDONI,ATABA  II,0,0,0,0,0,0,14
RIVERS,ANDONI,EKEDE,0,0,0,0,0,0,23
RIVERS,ANDONI,IKURU  TOWN,0,0,0,0,0,0,38
RIVERS,ANDONI,NGO  TOWN,0,0,0,0,0,0,37
RIVERS,ANDONI,SAMANGA,0,0,0,0,0,0,16
RIVERS,ANDONI,UNYEADA I,0,0,0,0,0,0,14
RIVERS,ANDONI,UNYEADA II,0,0,0,0,0,0,20
RIVERS,ANDONI,UNYEN GALA,0,0,0,0,0,0,20
RIVERS,ELEME,AGBONCHIA,0,0,0,0,0,0,30
RIVERS,ELEME,AKPAJO,0,0,0,0,0,0,20
RIVERS,ELEME,ALESA,0,0,0,0,0,0,24
RIVERS,ELEME,ALETO,0,0,0,0,0,0,31
RIVERS,ELEME,ALODE,0,0,0,0,0,0,22
RIVERS,ELEME,EBUBU,0,0,0,0,0,0,29
RIVERS,ELEME,EKPORO,0,0,0,0,0,0,5
RIVERS,ELEME,ETEO,0,0,0,0,0,0,10
RIVERS,ELEME,OGALE,0,0,0,0,0,0,24
RIVERS,ELEME,ONNE,0,0,0,0,0,0,38
RIVERS,GOKANA,B-DERE,0,0,0,0,0,0,21
RIVERS,GOKANA,BERA,0,0,0,0,0,0,16
RIVERS,GOKANA,BIARA I,0,0,0,0,0,0,12
RIVERS,GOKANA,BIARA II,0,0,0,0,0,0,9
RIVERS,GOKANA,BODO I,0,0,0,0,0,0,16
RIVERS,GOKANA,BODO II,0,0,0,0,0,0,14
RIVERS,GOKANA,BODO III,0,0,0,0,0,0,13
RIVERS,GOKANA,BOMU I,0,0,0,0,0,0,12
RIVERS,GOKANA,BOMU II,0,0,0,0,0,0,15
RIVERS,GOKANA,DERKEN/DEEYOR/NWERIBIARA,0,0,0,0,0,0,20
RIVERS,GOKANA,K-DERE I,0,0,0,0,0,0,13
RIVERS,GOKANA,K-DERE II,0,0,0,0,0,0,13
RIVERS,GOKANA,KPOR/LEWE/GBE,0,0,0,0,0,0,25
RIVERS,GOKANA,MOGHO,0,0,0,0,0,0,17
RIVERS,GOKANA,NWEOL/GIOKO/BARAKO,0,0,0,0,0,0,22
RIVERS,GOKANA,YEGHE I,0,0,0,0,0,0,10
RIVERS,GOKANA,YEGHE II,0,0,0,0,0,0,12
RIVERS,KHANA,BAEN/KPEAN/DUBURO,0,0,0,0,0,0,23
RIVERS,KHANA,BANE,0,0,0,0,0,0,14
RIVERS,KHANA,BARGHA,0,0,0,0,0,0,24
RIVERS,KHANA,BEERI,0,0,0,0,0,0,22
RIVERS,KHANA,BORI,0,0,0,0,0,0,26
RIVERS,KHANA,BOUE,0,0,0,0,0,0,21
RIVERS,KHANA,GWARA/KAA/EEKEN,0,0,0,0,0,0,25
RIVERS,KHANA,KAANI,0,0,0,0,0,0,19
RIVERS,KHANA,KONO/KWAWA,0,0,0,0,0,0,17
